entidad,tramo_gestion,proveedor,tipo,casos_activos_con_telefono,telefonos_total,telefonos_contactados_ivr,telefonos_sin_contacto_ivr,sms_total,sms_cortos,sms_largos,importe_asignado,importe_base_deuda
ADT0,1) 0 a 30 dias,claro,FIJO,30,30,5,25,12,5,7,1646494.66,1646494.66
ADT0,1) 0 a 30 dias,claro,MOVIL,3134,4472,886,3586,1229,802,427,246574213.62,246574213.62
ADT0,1) 0 a 30 dias,movistar,MOVIL,2811,4673,889,3784,1121,781,340,223269496.32,223269496.32
ADT0,1) 0 a 30 dias,personal,MOVIL,2538,3849,792,3057,2327,690,1637,203263621.98,203263621.98
ADT0,1) 0 a 30 dias,Sin proveedor,FIJO,228,249,10,239,104,47,57,18137679.20,18137679.20
ADT0,1) 0 a 30 dias,Sin proveedor,MOVIL,4,4,0,4,1,1,0,298203.77,298203.77
ADT0,1) 0 a 30 dias,telecentro,FIJO,45,46,2,44,17,9,8,3478839.89,3478839.89
ADT0,1) 0 a 30 dias,telecom,FIJO,1278,1683,63,1620,716,343,373,104120445.94,104120445.94
ADT0,1) 0 a 30 dias,telefonica,FIJO,1159,1422,85,1337,563,348,215,93968839.08,93968839.08
ADT1,1) 0 a 30 dias,claro,MOVIL,154,254,125,129,887,279,608,71219327.90,71219327.90
ADT1,1) 0 a 30 dias,movistar,MOVIL,145,259,105,154,925,276,649,64763552.85,64763552.85
ADT1,1) 0 a 30 dias,personal,MOVIL,128,225,93,132,1629,234,1395,53982513.85,53982513.85
ADT1,1) 0 a 30 dias,Sin proveedor,FIJO,2,2,0,2,14,4,10,953270.21,953270.21
ADT1,1) 0 a 30 dias,telecentro,FIJO,2,2,1,1,2,2,0,1045946.14,1045946.14
ADT1,1) 0 a 30 dias,telecom,FIJO,32,42,5,37,423,59,364,15294486.61,15294486.61
ADT1,1) 0 a 30 dias,telefonica,FIJO,32,41,2,39,209,57,152,13802574.26,13802574.26
AUSO,1) 0 a 30 dias,claro,FIJO,10,10,5,5,5,2,3,48620.68,48620.68
AUSO,1) 0 a 30 dias,claro,MOVIL,1253,1438,639,799,203,61,142,10857588.75,10857588.75
AUSO,1) 0 a 30 dias,movistar,MOVIL,2131,3046,1218,1828,414,104,310,17671935.79,17671935.79
AUSO,1) 0 a 30 dias,personal,MOVIL,1695,2186,882,1304,1417,34,1383,15797231.68,15797231.68
AUSO,1) 0 a 30 dias,Sin proveedor,FIJO,115,118,12,106,35,7,28,2513183.12,2513183.12
AUSO,1) 0 a 30 dias,Sin proveedor,MOVIL,5,5,0,5,1,0,1,24836.17,24836.17
AUSO,1) 0 a 30 dias,telecentro,FIJO,142,143,28,115,35,2,33,889530.11,889530.11
AUSO,1) 0 a 30 dias,telecentro,MOVIL,1,1,0,1,0,0,0,4893.74,4893.74
AUSO,1) 0 a 30 dias,telecom,FIJO,946,1253,97,1156,396,34,362,9919255.52,9919255.52
AUSO,1) 0 a 30 dias,telefonica,FIJO,896,1063,93,970,295,34,261,5427979.39,5427979.39
AUSO,2) 31 a 60 dias,claro,FIJO,7,7,2,5,6,0,6,13359.10,13359.10
AUSO,2) 31 a 60 dias,claro,MOVIL,1069,1222,487,735,621,268,353,8735586.01,8735586.01
AUSO,2) 31 a 60 dias,movistar,MOVIL,1901,2996,1088,1908,1245,516,729,14963004.68,14963004.68
AUSO,2) 31 a 60 dias,personal,MOVIL,1554,2051,823,1228,3470,311,3159,13886649.68,13886649.68
AUSO,2) 31 a 60 dias,Sin proveedor,FIJO,123,138,8,130,184,40,144,1579270.54,1579270.54
AUSO,2) 31 a 60 dias,Sin proveedor,MOVIL,11,11,0,11,8,0,8,80700.52,80700.52
AUSO,2) 31 a 60 dias,telecentro,FIJO,121,121,18,103,85,11,74,912748.98,912748.98
AUSO,2) 31 a 60 dias,telecom,FIJO,829,1186,88,1098,1071,278,793,7889420.54,7889420.54
AUSO,2) 31 a 60 dias,telefonica,FIJO,782,1383,87,1296,637,112,525,5316087.25,5316087.25
AUSO,3) 61 a 90 dias,claro,FIJO,3,3,0,3,0,0,0,6012.24,6012.24
AUSO,3) 61 a 90 dias,claro,MOVIL,995,1155,450,705,686,416,270,9133596.19,9133596.19
AUSO,3) 61 a 90 dias,movistar,MOVIL,1727,2475,818,1657,1332,682,650,13914685.21,13914685.21
AUSO,3) 61 a 90 dias,personal,MOVIL,1412,1820,708,1112,3262,330,2932,17774331.72,17774331.72
AUSO,3) 61 a 90 dias,Sin proveedor,FIJO,81,89,12,77,71,12,59,3577013.73,3577013.73
AUSO,3) 61 a 90 dias,Sin proveedor,MOVIL,2,2,0,2,0,0,0,5872.40,5872.40
AUSO,3) 61 a 90 dias,telecentro,FIJO,115,116,19,97,79,16,63,507050.46,507050.46
AUSO,3) 61 a 90 dias,telecom,FIJO,698,974,88,886,1020,285,735,9786997.97,9786997.97
AUSO,3) 61 a 90 dias,telefonica,FIJO,760,953,82,871,699,143,556,4911556.68,4911556.68
AUSO,4) 91 a 180 dias,claro,FIJO,44,44,11,33,25,1,24,283244.78,283244.78
AUSO,4) 91 a 180 dias,claro,MOVIL,3007,3492,1523,1969,2896,1140,1756,29409569.71,29409569.71
AUSO,4) 91 a 180 dias,movistar,MOVIL,5231,7868,2626,5242,5334,1961,3373,49032681.47,49032681.47
AUSO,4) 91 a 180 dias,personal,MOVIL,4072,5332,2172,3160,10599,1288,9311,48081842.27,48081842.27
AUSO,4) 91 a 180 dias,Sin proveedor,FIJO,346,380,52,328,506,156,350,4707790.90,4707790.90
